9,6,2,2,1
13,6,3,3,0.69
21,6,5,3,0.76
30,1,5,5,1
43,2,10,11,0.86
21,4,4,7,0.52
55,1,10,13,0.64
23,6,5,5,0.09
26,6,6,8,0.77
30,6,6,6,0.7
33,1,3,6,0.73
46,3,11,12,0.91
33,3,7,7,0.67
35,1,8,10,1
54,4,10,10,1
70,3,13,14,0.41
45,4,11,11,0.87
56,2,10,11,0.18
57,1,9,17,0.72
55,4,6,15,0.47
47,4,10,13,0
37,4,6,7,0.86
35,4,7,8,0.89
47,1,10,10,1
36,5,8,10,0.64
32,6,8,10,1
24,4,5,5,0.83
36,2,7,10,0.92
49,1,11,15,1
23,4,6,7,0.83
20,5,5,5,1
23,6,4,5,1
27,6,6,7,1
28,3,7,7,1
34,3,5,6,0.53
93,1,17,20,0.84
83,1,15,15,0.96
66,1,13,14,0.65
68,4,16,20,1
46,3,12,31,0.41
53,4,11,33,0.89
126,5,26,26,0
102,5,22,26,0.16
47,6,7,11,0.81
76,6,14,13,0.88
84,4,16,20,0.43
37,6,8,12,0.89
40,6,9,14,0
60,6,11,17,0
69,3,14,20,0.61
38,2,7,11,1
91,1,18,21,0.12
56,5,11,15,0
84,5,18,20,0.39
87,1,17,27,0.32
14,6,5,5,0.57
29,5,6,7,1
29,2,7,10,0.9
50,2,11,14,0.86
39,3,9,9,0.67
57,4,10,13,1
14,6,4,6,0.86
36,6,7,9,0.83
41,5,8,11,1
40,3,8,10,0.95
53,3,8,10,1
70,5,13,13,1
35,2,7,8,1
37,3,7,8,1
33,5,7,10,0.88
37,5,9,12,0.95
53,1,11,12,0.7
36,5,7,8,1
44,5,10,9,1
33,2,8,10,0.76
39,4,11,16,0.21
48,1,10,13,0.6
61,2,12,16,0.69
84,4,16,21,0.65
41,2,9,14,0.44
89,2,19,24,0.63
91,2,17,19,0.55
115,2,22,27,0.25
65,4,12,17,0.25
41,6,9,10,0.22
40,5,10,7,1
52,4,10,13,0.29
65,3,12,15,0.54
77,2,15,19,0.88
43,3,9,12,1
72,1,16,21,0.74
45,5,8,10,0.67
33,4,6,7,1
47,2,9,9,0.68
53,3,11,15,0.92
34,3,7,8,1
33,3,7,8,0.79
50,5,9,13,0.9
32,2,6,8,0.56
9,3,2,2,1
13,2,3,3,0.31
21,6,5,3,0.76
30,6,5,6,0.73
43,6,10,7,0.86
21,5,4,4,0.52
55,4,10,7,0.49
23,5,5,5,0.09
26,4,6,5,1
30,6,6,4,0.47
33,6,3,4,0.73
46,6,11,8,0.85
33,5,7,3,0.52
35,5,8,6,1
54,4,10,7,1
70,6,13,12,0.41
45,4,11,8,1
56,4,10,7,0.18
57,1,9,9,0.21
55,5,6,10,0.76
47,4,10,6,0
37,5,6,6,0.86
35,4,7,6,0.89
47,4,10,6,0.83
36,4,8,5,0.64
32,3,8,7,0.91
24,2,5,3,0.83
36,1,7,7,0.92
49,1,11,8,1
23,3,6,4,1
20,5,5,4,1
23,2,4,4,1
27,2,6,6,1
28,6,7,7,1
34,2,5,6,1
93,6,17,15,0.84
83,2,15,9,0.96
66,2,13,12,0.65
68,2,16,12,1
46,6,12,9,0.41
53,4,11,10,0.89
126,1,26,25,0
102,4,22,17,0.16
47,4,7,6,0.81
76,1,14,10,0.88
84,4,16,15,0.38
37,1,8,7,0.89
40,4,9,9,0
60,1,11,9,0
69,1,14,9,0.61
38,3,7,5,1
91,1,18,12,0.12
56,4,11,10,0
84,3,18,14,0.39
87,3,17,14,0.32
14,6,5,1,0.36
29,2,6,6,1
29,1,7,6,0.9
50,2,11,11,0.86
39,3,9,6,0.67
57,5,10,7,1
14,3,4,3,0.86
36,3,7,5,1
41,2,8,7,1
40,3,8,7,0.95
53,2,8,6,1
70,6,13,8,0.57
35,1,7,6,1
37,6,7,8,1
33,5,7,5,0.88
37,4,9,8,0.95
53,1,11,9,0.7
36,2,7,5,1
44,3,10,7,1
33,4,8,6,0.76
39,6,11,11,0.21
48,2,10,6,0.6
61,1,12,9,0.69
84,1,16,16,0.65
41,2,9,9,0.44
89,4,19,17,0.63
91,6,17,9,0.55
115,3,22,17,0.1
65,1,12,10,0.25
41,2,9,3,0.22
40,5,10,6,1
52,3,10,7,0.29
65,5,12,10,0.54
77,6,15,12,0.88
43,2,9,6,1
72,6,16,10,0.74
45,5,8,6,0.67
33,3,6,5,1
47,6,9,7,0.68
53,4,11,7,0.92
34,3,7,6,1
33,3,7,7,0.79
50,2,9,8,0.9
32,4,6,3,0.56
9,4,2,2,0.56
13,4,3,3,0.69
21,2,5,3,0.57
30,1,5,6,0.57
43,5,10,6,1
21,1,4,3,1
55,3,10,5,1
23,4,5,4,0.48
26,1,6,4,0.15
30,2,6,3,0.7
33,6,3,4,0.73
46,2,11,8,0.65
33,5,7,5,0.88
35,2,8,5,0.43
54,1,10,6,0.87
70,3,13,12,0.47
45,4,11,7,0.49
56,2,10,8,0.84
57,2,9,12,0.14
55,4,6,9,0.69
47,3,10,5,0.21
37,2,6,6,0.86
35,5,7,5,0.29
47,6,10,9,1
36,3,8,6,0.78
32,1,8,6,1
24,1,5,4,0.37
36,2,7,6,0.83
49,4,11,6,1
23,2,6,6,0.83
20,5,5,6,1
23,2,4,4,0.91
27,6,6,7,0.89
28,5,7,6,0.75
34,1,5,6,1
93,3,17,13,0.83
83,3,15,9,0
66,4,13,11,0.95
68,2,16,10,0.24
46,2,12,8,0
53,5,11,7,0.91
126,1,26,16,0.37
102,1,22,13,0.69
47,4,7,10,0.68
76,3,14,6,0.54
84,1,16,10,0.23
37,6,8,11,0.92
40,5,9,7,0.1
60,4,11,6,0.82
69,1,14,8,0.61
38,3,7,16,0.32
91,3,18,7,0.2
56,3,11,11,0.45
84,1,18,7,0.48
87,3,17,11,0.7
14,3,5,9,0.64
29,5,6,4,1
29,3,7,3,0.9
50,5,11,7,0.82
39,1,9,8,1
57,6,10,6,0.88
14,6,4,7,0
36,2,7,8,0.11
41,3,8,8,1
40,3,8,6,1
53,2,8,5,0.7
70,6,13,10,0.94
35,5,7,5,0.89
37,6,7,7,0.76
33,5,7,6,0.82
37,4,9,6,0.89
53,3,11,9,1
36,6,7,4,0.67
44,4,10,7,0.73
33,5,8,5,0.52
39,5,11,9,0.92
48,2,10,8,0.83
61,3,12,10,0.16
84,5,16,13,0.77
41,1,9,6,0.17
89,6,19,14,0.7
91,6,17,11,0.64
115,5,22,14,0.85
65,2,12,9,0.95
41,4,9,8,0.71
40,6,10,6,0.9
52,3,10,10,0.63
65,1,12,7,0.54
77,3,15,14,1
43,4,9,7,0.6
72,5,16,11,0.67
45,6,8,7,0.78
33,5,6,5,1
47,6,9,7,0.91
53,5,11,7,0.53
34,4,7,5,1
33,6,7,6,1
50,4,9,5,1
32,5,6,3,1